Start training...
Start training...
Start training...
Start training...
Start training...
Start training...
Start training...
Iter[0] Batch[0] Train-accuracy=0.843152
Iter[0] Batch[2] Train-accuracy=0.885212
Iter[0] Batch[4] Train-accuracy=0.887363
Iter[0] Batch[6] Train-accuracy=0.888645
Iter[0] Batch[8] Train-accuracy=0.890318
Iter[0] Batch[10] Train-accuracy=0.889201
Iter[0] Batch[12] Train-accuracy=0.893126
Iter[0] Batch[14] Train-accuracy=0.900839
Start training...
Iter[0] Batch[0] Train-rmse=0.624646
Iter[0] Batch[2] Train-rmse=0.633272
Iter[0] Batch[4] Train-rmse=0.633050
Iter[0] Batch[6] Train-rmse=0.628078
Iter[0] Batch[8] Train-rmse=0.621174
Iter[0] Batch[10] Train-rmse=0.617669
Iter[0] Batch[12] Train-rmse=0.615623
Iter[0] Batch[14] Train-rmse=0.612685
Iter[0] Batch[16] Train-rmse=0.611357
Iter[0] Batch[18] Train-rmse=0.608678
Iter[0] Batch[20] Train-rmse=0.606802
Iter[0] Batch[22] Train-rmse=0.603563
Iter[0] Batch[24] Train-rmse=0.600453
Iter[0] Batch[26] Train-rmse=0.598601
Iter[0] Batch[28] Train-rmse=0.596887
Iter[0] Batch[30] Train-rmse=0.596149
Iter[0] Batch[32] Train-rmse=0.594837
Iter[0] Batch[34] Train-rmse=0.593571
Iter[0] Batch[36] Train-rmse=0.592386
Iter[0] Batch[38] Train-rmse=0.591488
Iter[0] Batch[40] Train-rmse=0.589799
Iter[0] Batch[42] Train-rmse=0.587834
Iter[0] Batch[44] Train-rmse=0.586309
Iter[0] Batch[46] Train-rmse=0.584799
Iter[0] Batch[48] Train-rmse=0.583670
Iter[0] Batch[50] Train-rmse=0.582368
Iter[0] Batch[52] Train-rmse=0.581341
Iter[0] Batch[54] Train-rmse=0.579987
Iter[0] Batch[56] Train-rmse=0.578947
Iter[0] Batch[58] Train-rmse=0.577797
Iter[0] Batch[60] Train-rmse=0.576916
Iter[0] Batch[62] Train-rmse=0.576260
Iter[0] Batch[64] Train-rmse=0.574949
Iter[0] Batch[66] Train-rmse=0.573542
Iter[0] Batch[68] Train-rmse=0.572706
Iter[0] Batch[70] Train-rmse=0.571750
Iter[0] Batch[72] Train-rmse=0.571204
Iter[0] Batch[74] Train-rmse=0.570638
Iter[0] Batch[76] Train-rmse=0.570147
Iter[0] Batch[78] Train-rmse=0.569543
Iter[0] Batch[80] Train-rmse=0.569090
Iter[0] Batch[82] Train-rmse=0.568324
Iter[0] Batch[84] Train-rmse=0.567670
Iter[0] Batch[86] Train-rmse=0.567058
Iter[0] Batch[88] Train-rmse=0.566192
Iter[0] Batch[90] Train-rmse=0.565413
Iter[0] Batch[92] Train-rmse=0.564681
Iter[0] Batch[94] Train-rmse=0.564345
Iter[0] Batch[96] Train-rmse=0.563774
Iter[0] Batch[98] Train-rmse=0.562850
Iter[0] Batch[100] Train-rmse=0.562491
Iter[0] Batch[102] Train-rmse=0.562148
Iter[0] Batch[104] Train-rmse=0.561840
Iter[0] Batch[106] Train-rmse=0.561507
Iter[0] Batch[108] Train-rmse=0.561015
Iter[0] Batch[110] Train-rmse=0.560789
Iter[0] Batch[112] Train-rmse=0.560381
Iter[0] Batch[114] Train-rmse=0.560076
Iter[0] Batch[116] Train-rmse=0.559878
Iter[0] Batch[118] Train-rmse=0.559569
Iter[0] Batch[120] Train-rmse=0.559262
Iter[0] Batch[122] Train-rmse=0.558920
Iter[0] Batch[124] Train-rmse=0.558673
Iter[0] Batch[126] Train-rmse=0.558487
Iter[0] Batch[128] Train-rmse=0.558114
Iter[0] Batch[130] Train-rmse=0.557824
Iter[0] Batch[132] Train-rmse=0.557455
Iter[0] Batch[134] Train-rmse=0.557053
Iter[0] Batch[136] Train-rmse=0.556675
Iter[0] Batch[138] Train-rmse=0.556417
